ticks,collective_efficiency,agent_scores,resources_remaining,malformed_rates,trial,seed,condition
44,1.0,"{'A3': 7, 'A2': 5, 'A4': 12, 'A1': 6}",0,{},1,1,simple
50,0.9666666666666667,"{'A2': 9, 'A4': 4, 'A1': 9, 'A3': 7}",1,{},2,2,simple
26,1.0,"{'A4': 7, 'A1': 8, 'A3': 9, 'A2': 6}",0,{},3,3,simple
47,1.0,"{'A2': 6, 'A4': 8, 'A1': 9, 'A3': 7}",0,{},4,4,simple
50,0.9666666666666667,"{'A2': 10, 'A3': 9, 'A4': 4, 'A1': 6}",1,{},5,5,simple
33,1.0,"{'A1': 8, 'A2': 7, 'A3': 10, 'A4': 5}",0,{},6,6,simple
50,0.9666666666666667,"{'A3': 7, 'A1': 7, 'A4': 6, 'A2': 9}",1,{},7,7,simple
50,0.9333333333333333,"{'A3': 12, 'A1': 6, 'A2': 5, 'A4': 5}",2,{},8,8,simple
50,0.9666666666666667,"{'A4': 9, 'A2': 5, 'A3': 6, 'A1': 9}",1,{},9,9,simple
49,1.0,"{'A3': 2, 'A4': 10, 'A2': 6, 'A1': 12}",0,{},10,10,simple
27,1.0,"{'A2': 8, 'A4': 1, 'A3': 11, 'A1': 10}",0,{},11,11,simple
50,0.9666666666666667,"{'A4': 9, 'A2': 4, 'A3': 9, 'A1': 7}",1,{},12,12,simple
27,1.0,"{'A3': 11, 'A4': 8, 'A2': 6, 'A1': 5}",0,{},13,13,simple
50,0.9,"{'A1': 6, 'A4': 9, 'A2': 8, 'A3': 4}",3,{},14,14,simple
31,1.0,"{'A2': 11, 'A4': 5, 'A1': 5, 'A3': 9}",0,{},15,15,simple
49,1.0,"{'A1': 6, 'A3': 8, 'A2': 6, 'A4': 10}",0,{},16,16,simple
50,0.9333333333333333,"{'A4': 6, 'A3': 6, 'A2': 10, 'A1': 6}",2,{},17,17,simple
23,1.0,"{'A2': 7, 'A1': 7, 'A3': 7, 'A4': 9}",0,{},18,18,simple
49,1.0,"{'A1': 4, 'A2': 8, 'A3': 7, 'A4': 11}",0,{},19,19,simple
33,1.0,"{'A2': 12, 'A4': 5, 'A1': 7, 'A3': 6}",0,{},20,20,simple
34,1.0,"{'A2': 8, 'A1': 8, 'A4': 8, 'A3': 6}",0,{},21,21,simple
50,0.9,"{'A2': 6, 'A1': 8, 'A4': 5, 'A3': 8}",3,{},22,22,simple
50,0.9666666666666667,"{'A4': 5, 'A2': 12, 'A1': 7, 'A3': 5}",1,{},23,23,simple
36,1.0,"{'A2': 4, 'A3': 4, 'A1': 11, 'A4': 11}",0,{},24,24,simple
50,0.8666666666666667,"{'A2': 8, 'A1': 6, 'A3': 6, 'A4': 6}",4,{},25,25,simple
35,1.0,"{'A2': 9, 'A1': 7, 'A3': 7, 'A4': 7}",0,{},26,26,simple
34,1.0,"{'A1': 6, 'A3': 7, 'A4': 10, 'A2': 7}",0,{},27,27,simple
50,0.9666666666666667,"{'A3': 4, 'A1': 13, 'A2': 6, 'A4': 6}",1,{},28,28,simple
50,0.9666666666666667,"{'A2': 7, 'A3': 7, 'A4': 8, 'A1': 7}",1,{},29,29,simple
28,1.0,"{'A3': 11, 'A2': 3, 'A1': 9, 'A4': 7}",0,{},30,30,simple
